date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,tournament,city,country,neutral_location,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2022-12-13,Argentina,Croatia,South America,Europe,3,12,1773.88,1645.64,FIFA World Cup,Lusail,Qatar,False,84,82,82.25,89.0,84.75,79.25,82.0,84.25
2022-12-14,France,Morocco,Europe,Africa,4,22,1759.78,1563.5,FIFA World Cup,Al Khor,Qatar,False,87,82,84.25,88.66666666666667,86.75,81.25,83.66666666666667,78.75
