date,home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,tournament,city,country,neutral_location,home_team_goalkeeper_score,away_team_goalkeeper_score,home_team_mean_defense_score,home_team_mean_offense_score,home_team_mean_midfield_score,away_team_mean_defense_score,away_team_mean_offense_score,away_team_mean_midfield_score
2022-12-03,Netherlands,USA,Europe,North America,8,16,1694.51,1627.48,FIFA World Cup,Al Rayyan,Qatar,False,81,77,86.5,83.0,84.5,76.5,77.66666666666667,78.25
2022-12-03,Argentina,Australia,South America,Oceania,3,38,1773.88,1488.72,FIFA World Cup,Al Rayyan,Qatar,False,84,77,82.25,89.0,84.75,72.0,73.0,73.75
2022-12-04,France,Poland,Europe,Europe,4,26,1759.78,1548.59,FIFA World Cup,Doha,Qatar,False,87,87,84.25,88.66666666666667,86.75,75.25,83.0,77.5
2022-12-04,England,Senegal,Europe,Africa,5,18,1728.47,1584.38,FIFA World Cup,Al Khor,Qatar,False,83,83,85.0,88.33333333333333,85.0,79.5,81.33333333333333,79.0
2022-12-05,Japan,Croatia,Asia,Europe,24,12,1559.54,1645.64,FIFA World Cup,Al Wakrah,Qatar,False,73,82,75.25,77.0,77.75,79.25,82.0,84.25
2022-12-05,Brazil,Korea Republic,South America,Asia,1,28,1841.3,1530.3,FIFA World Cup,Doha,Qatar,False,89,75,85.5,86.33333333333333,88.25,73.0,80.0,78.5
2022-12-06,Morocco,Spain,Africa,Europe,22,7,1563.5,1715.22,FIFA World Cup,Al Rayyan,Qatar,False,82,84,81.25,83.66666666666667,78.75,86.25,85.66666666666667,86.0
2022-12-06,Portugal,Switzerland,Europe,Europe,9,15,1676.56,1635.92,FIFA World Cup,Lusail,Qatar,False,82,85,85.25,87.0,85.5,79.5,78.0,79.5
